,B_total_water-supply,B_total_water-waste,B_net_water,B_water-supply_EC,B_water-waste_EC,B_net_water_EC,B_water-supply_pH,B_water-waste_pH,B_temperature_sum_daytime,B_temperature_sum_night,B_dew_point_minimum,B_CO2_mean,B_light_sum,B_length_diff,B_width_diff
0,7533.000,4735.000,3189.000,16.120,15.315,0.805,109.050,120.850,,,15.300,462.142,614174.200,2.549,-0.145
1,3040.000,61.000,2979.000,11.390,11.010,0.380,44.500,46.200,,,12.400,473.903,295523.200,7.200,-1.530
2,2573.000,260.000,2313.000,13.820,13.160,0.660,43.600,44.800,,,12.900,518.829,170424.500,1.800,0.920
3,3461.000,245.000,3216.000,27.710,27.190,0.520,61.900,63.400,,,12.900,549.493,226755.600,3.300,0.830
4,2317.000,116.000,2201.000,13.280,13.960,-0.680,24.400,24.800,,,10.800,568.283,163524.000,-5.200,-0.156
5,5069.000,513.000,4556.000,24.845,38.305,-13.460,41.900,41.450,,,4.800,521.872,291112.700,5.700,4.170
6,3784.000,398.000,3386.000,30.500,46.330,-15.830,42.250,41.900,,,3.900,508.686,254798.900,-1.900,0.286
7,3971.000,192.000,3779.000,37.733,80.735,-43.002,42.450,40.875,,,2.500,482.891,246394.100,-1.500,-3.374
8,2188.000,23.000,2165.000,33.163,85.455,-52.292,43.100,41.425,,,2.700,454.810,126988.600,-4.100,0.223
9,2844.000,85.000,2759.000,36.085,85.650,-49.565,42.400,40.950,,,2.700,476.066,204618.100,-5.600,-0.095
10,2764.000,123.000,2641.000,36.440,87.820,-51.380,42.600,40.950,,,3.000,491.056,183998.600,5.300,-0.414
11,2710.000,259.000,2451.000,36.550,139.850,-103.300,41.500,37.700,,,3.100,500.753,178304.500,-0.400,-0.159
12,2490.000,222.000,2268.000,31.875,66.398,-34.523,46.028,43.854,,,4.000,508.393,189870.200,0.800,-1.146
13,5378.000,329.000,5049.000,66.335,133.959,-67.624,86.022,79.508,,,4.100,509.164,390834.400,-2.800,0.604
14,1972.000,47.000,1925.000,33.875,107.208,-73.333,41.950,33.062,,,4.100,543.895,189316.100,-1.200,0.319
15,1995.000,64.250,1930.750,32.175,135.985,-103.810,42.650,31.106,,,1.600,518.367,176913.200,-2.100,-0.796
16,1994.000,11.250,1982.750,31.500,140.000,-108.500,42.400,31.220,,,2.000,477.289,194664.200,-1.100,-0.191
17,2972.000,238.000,2734.000,33.810,140.000,-106.190,42.400,31.710,,,2.000,517.364,284392.700,-0.100,-0.191
18,2209.000,105.000,2104.000,34.235,140.000,-105.765,42.150,32.200,,,2.400,516.154,270545.800,-2.100,0.446
19,2556.500,67.500,2489.000,32.510,140.000,-107.490,41.800,32.690,,,1.000,521.161,224993.900,0.000,-0.701
20,1899.000,166.250,1732.750,26.347,140.000,-113.653,43.280,33.667,,,2.000,499.610,271314.000,-1.600,-0.031
21,2859.000,285.750,2573.250,25.948,139.110,-113.162,43.220,39.933,,,1.900,495.796,288988.500,2.800,0.381
22,4591.000,483.000,4108.000,25.590,126.085,-100.495,43.350,42.550,,,1.900,513.664,304246.800,1.200,0.382
23,3287.000,578.000,2709.000,22.825,100.470,-77.645,36.950,35.000,,,2.400,523.885,314421.100,-1.300,0.605
24,4860.000,724.000,4136.000,34.090,121.382,-87.292,49.290,46.150,,,0.000,487.009,433314.500,1.700,0.923
25,2866.000,272.000,2594.000,28.840,117.203,-88.363,43.965,43.280,,,2.100,472.103,189175.300,0.400,0.255
26,5348.000,960.000,4388.000,31.950,116.310,-84.360,43.600,42.765,,,0.100,473.177,454076.100,-0.700,0.286
27,4272.000,581.000,3691.000,36.750,140.000,-103.250,40.250,34.000,,,0.000,471.167,325251.100,0.200,0.223
28,6828.000,996.000,5832.000,51.100,200.000,-148.900,57.850,49.750,,,1.000,470.342,563350.100,1.000,-0.955
29,3953.000,582.000,3371.000,19.700,80.000,-60.300,23.100,20.700,,,0.000,480.489,329206.600,0.600,0.987
30,10085.000,755.000,9330.000,70.500,280.000,-209.500,82.250,71.200,,,4.700,474.257,653422.500,-3.500,-0.987
31,5160.000,370.000,4790.000,34.400,140.000,-105.600,41.200,35.000,,,12.100,467.142,306628.300,1.700,-0.031
32,5894.000,620.000,5274.000,33.100,140.000,-106.900,40.600,35.100,,,11.200,431.766,360011.400,-1.000,-0.796
33,5213.000,589.000,4624.000,31.800,139.500,-107.700,40.950,36.100,,,11.400,425.391,328314.000,-0.400,0.063
34,4275.000,392.000,3883.000,31.050,137.350,-106.300,41.200,36.150,,,11.600,393.089,261637.700,2.500,0.287
35,4269.000,507.000,3762.000,29.450,132.500,-103.050,41.700,36.600,,,10.800,343.413,220836.000,-3.700,0.064
36,4512.000,310.000,4202.000,29.550,120.325,-90.775,41.850,36.525,,,11.800,327.009,254994.200,0.900,-1.178
37,4554.000,527.000,4027.000,29.300,114.425,-85.125,41.450,36.225,,,12.300,325.789,234807.000,-0.800,-0.732