B_net_water,B_water-supply_pH,B_length_diff
3189.000,109.050,2.549
2979.000,44.500,7.200
2313.000,43.600,1.800
3216.000,61.900,3.300
2201.000,24.400,-5.200
4556.000,41.900,5.700
3386.000,42.250,-1.900
3779.000,42.450,-1.500
2165.000,43.100,-4.100
2759.000,42.400,-5.600
2641.000,42.600,5.300
2451.000,41.500,-0.400
2268.000,46.028,0.800
5049.000,86.022,-2.800
1925.000,41.950,-1.200
1930.750,42.650,-2.100
1982.750,42.400,-1.100
2734.000,42.400,-0.100
2104.000,42.150,-2.100
2489.000,41.800,0.000
1732.750,43.280,-1.600
2573.250,43.220,2.800
4108.000,43.350,1.200
2709.000,36.950,-1.300
4136.000,49.290,1.700
2594.000,43.965,0.400
4388.000,43.600,-0.700
3691.000,40.250,0.200
5832.000,57.850,1.000
3371.000,23.100,0.600
9330.000,82.250,-3.500
4790.000,41.200,1.700
5274.000,40.600,-1.000
4624.000,40.950,-0.400
3883.000,41.200,2.500
3762.000,41.700,-3.700
4202.000,41.850,0.900
4027.000,41.450,-0.800