B_total_water-waste,B_net_water,B_water-supply_EC,B_water-waste_pH,B_temperature_sum_daytime,B_width_diff
4735.000,3189.000,16.120,120.850,64213.100,-0.145
61.000,2979.000,11.390,46.200,24686.400,-1.530
260.000,2313.000,13.820,44.800,22004.500,0.920
245.000,3216.000,27.710,63.400,29096.700,0.830
116.000,2201.000,13.280,24.800,11152.000,-0.156
513.000,4556.000,24.845,41.450,19040.000,4.170
398.000,3386.000,30.500,41.900,17967.200,0.286
192.000,3779.000,37.733,40.875,17215.700,-3.374
23.000,2165.000,33.163,41.425,15859.600,0.223
85.000,2759.000,36.085,40.950,15227.800,-0.095
123.000,2641.000,36.440,40.950,15488.300,-0.414
259.000,2451.000,36.550,37.700,15089.100,-0.159
222.000,2268.000,31.875,43.854,14789.700,-1.146
329.000,5049.000,66.335,79.508,30015.500,0.604
47.000,1925.000,33.875,33.062,15155.900,0.319
64.250,1930.750,32.175,31.106,14905.900,-0.796
11.250,1982.750,31.500,31.220,14615.600,-0.191
238.000,2734.000,33.810,31.710,16961.800,-0.191
105.000,2104.000,34.235,32.200,18009.700,0.446
67.500,2489.000,32.510,32.690,17940.100,-0.701
166.250,1732.750,26.347,33.667,19063.500,-0.031
285.750,2573.250,25.948,39.933,20177.600,0.381
483.000,4108.000,25.590,42.550,20822.100,0.382
578.000,2709.000,22.825,35.000,16954.000,0.605
724.000,4136.000,34.090,46.150,23714.700,0.923
272.000,2594.000,28.840,43.280,19621.200,0.255
960.000,4388.000,31.950,42.765,21835.300,0.286
581.000,3691.000,36.750,34.000,21534.000,0.223
996.000,5832.000,51.100,49.750,35005.400,-0.955
582.000,3371.000,19.700,20.700,13853.000,0.987
755.000,9330.000,70.500,71.200,49765.500,-0.987
370.000,4790.000,34.400,35.000,25609.600,-0.031
620.000,5274.000,33.100,35.100,27310.800,-0.796
589.000,4624.000,31.800,36.100,28372.000,0.063
392.000,3883.000,31.050,36.150,29439.800,0.287
507.000,3762.000,29.450,36.600,29652.500,0.064
310.000,4202.000,29.550,36.525,30630.400,-1.178
527.000,4027.000,29.300,36.225,30239.100,-0.732